,id,leader,time,DTW
0,60,58.0,4.4,1.4699750674184384
1,60,69.0,4.8,1.7023506310784329
2,60,68.0,5.6,0.25248786487264624
3,60,68.0,10.6,0.2272663459443931
4,60,68.0,15.6,0.22425699071266023
5,66,61.0,4.7,0.23236025167693344
6,66,61.0,9.7,0.345971010454368
7,50,66.0,4.0,44.222897108374276
8,50,66.0,9.0,0.09741267256629432
9,50,66.0,14.0,0.117410989178453
10,57,50.0,4.3,49.91368176241952
11,57,50.0,9.3,0.08687326856043226
12,57,50.0,14.3,0.044955151359586776
13,81,79.0,4.3,0.16457463712949466
14,97,81.0,4.3,0.2565574912726273
15,58,26.0,4.4,0.9584853970650685
16,58,51.0,4.7,0.7872386561072161
17,58,65.0,5.0,0.0528805697352987
18,58,65.0,10.0,0.04051466179450707
19,52,71.0,4.5,0.11958696094833353
20,286,97.0,4.4,0.4987388169742737
21,286,97.0,9.4,0.30109564406382977
22,67,43.0,4.6,0.0758095899302742
23,101,52.0,4.6,0.19938098450987093
24,51,26.0,4.7,0.11501517606101763
25,61,67.0,4.7,0.5930634712259871
26,61,62.0,5.0,0.1556367747358397
27,61,62.0,10.0,0.24049298756460744
28,91,101.0,4.7,0.06049748976355547
29,86,91.0,4.7,0.2096111130310849
30,86,91.0,9.7,0.10528639410894826
31,75,86.0,4.7,0.2926241095764726
32,75,86.0,9.7,0.29153004274541044
33,95,75.0,4.7,1.3237692136001487
34,95,75.0,9.7,1.2314473037677547
35,95,286.0,10.8,0.9909763753806753
36,285,95.0,4.7,0.06812842788329147
37,285,95.0,9.7,0.13187451107448098
38,285,75.0,10.8,0.42086412518402805
39,90,70.0,5.0,4.061942764625538
40,90,64.0,5.4,7.304877633322334
41,69,58.0,4.8,0.15553597972440678
42,69,58.0,9.8,0.15577394022706187
43,104,90.0,4.8,1.5703033134669693
44,104,90.0,9.8,1.7373967774017913
45,104,64.0,10.0,4.98052164565688
46,59,57.0,4.9,0.1568029734694139
47,59,57.0,9.9,0.11095216890155013
48,59,57.0,14.9,0.08412204936849217
49,59,57.0,19.9,0.07438512282474219
50,65,51.0,5.0,0.13600282146508041
51,62,67.0,5.0,0.19830403314034412
52,93,59.0,5.3,0.39605456911994236
53,93,59.0,10.3,0.3621247018388475
54,93,59.0,15.3,0.4056051101539914
55,93,59.0,20.3,0.23638368943319474
56,98,60.0,5.4,0.38943812239361364
57,98,60.0,10.4,0.4627575836140721
58,98,60.0,15.4,0.3552791778333146
59,98,60.0,20.4,0.9207295721018379
60,64,70.0,5.4,4.076747263096685
61,64,90.0,10.0,5.115294839035076
62,85,98.0,5.5,0.14607146555320877
63,85,98.0,10.5,0.15875286161754562
64,85,98.0,15.5,0.06274633942015573
65,85,98.0,20.5,0.08423208047503833
66,85,98.0,25.5,0.03716141342565595
67,28,39.0,5.5,0.2691300850161107
68,92,93.0,5.5,2.9396327106452067
69,92,77.0,6.1,0.2126742589099558
70,92,77.0,11.1,0.21525022554177026
71,92,77.0,16.1,0.21246473274461308
72,92,77.0,21.1,0.16583192438970268
73,92,77.0,26.1,0.10719784002576406
74,92,77.0,31.1,0.10264030055309159
75,92,77.0,36.1,0.10374986577565184
76,68,69.0,5.6,0.15432958151413534
77,68,69.0,10.6,0.09330586720721534
78,68,69.0,15.6,0.13785146294423536
79,94,85.0,5.6,0.5512090824261088
80,94,85.0,10.6,0.5145326053442313
81,94,85.0,15.6,0.48280618131372666
82,94,85.0,20.6,0.40212572795481627
83,94,85.0,25.6,0.3655146869376833
84,54,28.0,5.6,2.170691857522563
85,54,55.0,5.8,2.4410069502922678
86,54,63.0,6.0,2.3436822982599996
87,54,73.0,6.2,0.7502545737655906
88,54,73.0,11.2,0.3039540836960001
89,54,73.0,16.2,0.29086234181478104
90,54,73.0,21.2,0.27865625267820665
91,54,73.0,26.2,0.3173441565905301
92,55,28.0,5.8,1.8391211127106344
93,55,72.0,6.1,0.4288465417018823
94,55,72.0,11.1,0.25293962817510846
95,76,94.0,5.9,0.5551473393955886
96,76,94.0,10.9,0.5676753956214706
97,76,94.0,15.9,0.5570866456560161
98,76,94.0,20.9,0.5401698464995697
99,76,53.0,25.8,0.7069409452953103
100,76,53.0,30.8,0.412598270382982
101,63,55.0,6.0,0.26396003014128566
102,63,55.0,11.0,0.17226833066872607
103,63,55.0,16.0,0.17802059977575427
104,102,93.0,6.0,0.26720959000444355
105,102,93.0,11.0,0.3114819964126526
106,102,93.0,16.0,0.1019715360720171
107,102,93.0,21.0,0.09129732354179838
108,72,28.0,6.1,0.6374551263890785
109,72,64.0,11.4,2.642677911479183
110,77,102.0,6.1,3.0387541823090434
111,77,80.0,6.4,0.41715069327117066
112,77,80.0,11.4,0.4182569703480618
113,77,80.0,16.4,0.3874894253013469
114,77,80.0,21.4,0.38334838820289485
115,77,80.0,26.4,0.37516921663143943
116,77,80.0,31.4,0.25327698134375065
117,73,63.0,6.2,2.0380011839510783
118,73,74.0,6.8,0.7443672342362521
119,73,74.0,11.8,0.48600399053860627
120,73,74.0,16.8,0.2436134066978632
121,73,74.0,21.8,0.1312217924847797
122,78,102.0,6.4,2.863599475106583
123,78,96.0,6.8,0.6967026153224911
124,78,96.0,11.8,0.7181458224693287
125,78,96.0,16.8,0.30354539542145764
126,78,96.0,21.8,0.3338008431891216
127,78,96.0,26.8,0.24894012786939843
128,80,78.0,6.4,0.1898417648698592
129,80,78.0,11.4,0.1635259016888695
130,80,78.0,16.4,0.4256806149287674
131,80,78.0,21.4,0.12686208178984087
132,80,78.0,26.4,0.09437560068264346
133,80,78.0,31.4,0.1267591779951238
134,53,54.0,6.6,1.1014805353714492
135,53,54.0,11.6,1.056076209014524
136,53,54.0,16.6,1.0360748447646728
137,53,54.0,21.6,1.020855833691331
138,53,94.0,25.8,0.17190425536350235
139,53,94.0,30.8,0.10954638874982804
140,87,53.0,6.6,1.6628355269255999
141,87,53.0,11.6,1.6620346481864894
142,87,53.0,16.6,1.6603025370134155
143,87,53.0,21.6,1.66222765957313
144,87,54.0,25.8,0.35587342832153723
145,87,54.0,30.8,0.15173471464313693
146,74,63.0,6.8,0.32349231333077605
147,74,63.0,11.8,0.3034012181136917
148,74,63.0,16.8,0.31464868672553986
149,74,63.0,21.8,0.272714373702807
150,96,102.0,6.8,0.6505276111571275
151,96,102.0,11.8,0.6710516613259152
152,96,102.0,16.8,0.20651994538045848
153,96,102.0,21.8,0.20647994784592047
154,96,102.0,26.8,0.16916856029317814
155,83,76.0,7.1,0.1757288142012949
156,83,76.0,12.1,0.16734022284267566
157,83,76.0,17.1,0.294230833444663
158,83,76.0,22.1,0.28266234273760954
159,83,76.0,27.1,0.22667089863564235
160,83,76.0,32.1,0.08152565620944557
161,103,83.0,7.3,0.21451737067812904
162,103,83.0,12.3,0.25487768880222494
163,103,83.0,17.3,0.13961518397320805
164,103,83.0,22.3,0.1384886839833984
165,103,83.0,27.3,0.11040754229872565
166,103,83.0,32.3,0.06801971488020107
167,103,83.0,37.3,0.05378343944531208
168,82,87.0,7.8,1.6321411400592574
